clusters,,0,1,2
36,준비운동,"('전신 루틴 스트레칭', 240)","('유산소 운동 전 동적 루틴 스트레칭', 224)","('하지 루틴 스트레칭1', 166)"
36,본운동,"('앉았다 일어서기', 392)","('엎드려 버티기', 316)","('윗몸올리기', 264)"
36,마무리운동,"('전신 루틴 스트레칭', 183)","('정적 스트레칭  루틴프로그램', 134)","('상지 루틴 스트레칭', 110)"
37,준비운동,"('전신 루틴 스트레칭', 219)","('유산소 운동 전 동적 루틴 스트레칭', 200)","('하지 루틴 스트레칭1', 133)"
37,본운동,"('앉았다 일어서기', 377)","('엎드려 버티기', 288)","('윗몸올리기', 276)"
37,마무리운동,"('전신 루틴 스트레칭', 184)","('정적 스트레칭  루틴프로그램', 128)","('상지 루틴 스트레칭', 111)"
38,준비운동,"('동적 스트레칭 루틴프로그램', 823)","('상지 루틴 스트레칭', 389)","('유산소 운동 전 동적 루틴 스트레칭', 387)"
38,본운동,"('앉았다 일어서기', 1362)","('엎드려 버티기', 753)","('윗몸올리기', 722)"
38,마무리운동,"('정적 스트레칭  루틴프로그램', 591)","('전신 루틴 스트레칭', 477)","('하지 루틴 스트레칭2', 442)"
39,준비운동,"('전신 루틴 스트레칭', 1153)","('유산소 운동 전 동적 루틴 스트레칭', 1098)","('하지 루틴 스트레칭1', 776)"
39,본운동,"('앉았다 일어서기', 1712)","('엎드려 버티기', 1443)","('윗몸올리기', 1367)"
39,마무리운동,"('전신 루틴 스트레칭', 1157)","('상지 루틴 스트레칭', 619)","('하지 루틴 스트레칭2', 614)"
40,준비운동,"('전신 루틴 스트레칭', 1092)","('하지 루틴 스트레칭1', 768)","('유산소 운동 전 동적 루틴 스트레칭', 750)"
40,본운동,"('앉았다 일어서기', 1494)","('엎드려 버티기', 1161)","('윗몸올리기', 1103)"
40,마무리운동,"('전신 루틴 스트레칭', 871)","('정적 스트레칭  루틴프로그램', 609)","('엉덩이 스트레칭', 562)"
41,준비운동,"('전신 루틴 스트레칭', 922)","('유산소 운동 전 동적 루틴 스트레칭', 786)","('하지 루틴 스트레칭1', 603)"
41,본운동,"('앉았다 일어서기', 1121)","('엎드려 버티기', 967)","('윗몸올리기', 858)"
41,마무리운동,"('전신 루틴 스트레칭', 600)","('하지 루틴 스트레칭2', 481)","('상지 루틴 스트레칭', 458)"
42,준비운동,"('동적 스트레칭 루틴프로그램', 270)","('다리 벌려 옆으로 상체 숙이기', 257)","('다리 벌려 앞으로 상체 숙이기', 249)"
42,본운동,"('앉았다 일어서기', 471)","('윗몸말아올리기', 300)","('팔굽혀펴기', 276)"
42,마무리운동,"('정적 스트레칭  루틴프로그램', 278)","('전신 루틴 스트레칭', 145)","('하지 루틴 스트레칭2', 95)"
43,준비운동,"('전신 루틴 스트레칭', 1091)","('유산소 운동 전 동적 루틴 스트레칭', 851)","('하지 루틴 스트레칭1', 738)"
43,본운동,"('앉았다 일어서기', 1370)","('엎드려 버티기', 1160)","('윗몸올리기', 1081)"
43,마무리운동,"('전신 루틴 스트레칭', 783)","('하지 루틴 스트레칭2', 600)","('정적 스트레칭  루틴프로그램', 598)"
44,준비운동,"('동적 스트레칭 루틴프로그램', 692)","('전신 루틴 스트레칭', 686)","('유산소 운동 전 동적 루틴 스트레칭', 603)"
44,본운동,"('앉았다 일어서기', 1620)","('엎드려 버티기', 1042)","('윗몸올리기', 980)"
44,마무리운동,"('전신 루틴 스트레칭', 634)","('정적 스트레칭  루틴프로그램', 624)","('하지 루틴 스트레칭2', 460)"
45,준비운동,"('전신 루틴 스트레칭', 376)","('유산소 운동 전 동적 루틴 스트레칭', 331)","('하지 루틴 스트레칭1', 276)"
45,본운동,"('앉았다 일어서기', 662)","('엎드려 버티기', 495)","('한발 앞으로 내밀고 앉았다 일어서기', 442)"
45,마무리운동,"('전신 루틴 스트레칭', 345)","('상지 루틴 스트레칭', 197)","('정적 스트레칭  루틴프로그램', 194)"
46,준비운동,"('동적 스트레칭 루틴프로그램', 590)","('유산소 운동 전 동적 루틴 스트레칭', 426)","('전신 루틴 스트레칭', 415)"
46,본운동,"('앉았다 일어서기', 1076)","('엎드려 버티기', 624)","('맨몸운동  루틴프로그램', 613)"
46,마무리운동,"('정적 스트레칭  루틴프로그램', 522)","('전신 루틴 스트레칭', 390)","('하지 루틴 스트레칭2', 339)"
47,준비운동,"('전신 루틴 스트레칭', 62)","('유산소 운동 전 동적 루틴 스트레칭', 52)","('목 스트레칭', 50)"
47,본운동,"('앉았다 일어서기', 105)","('엎드려 버티기', 65)","('윗몸올리기', 61)"
47,마무리운동,"('전신 루틴 스트레칭', 69)","('엉덩이 스트레칭', 42)","('상지 루틴 스트레칭', 40)"
48,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 63)","('전신 루틴 스트레칭', 58)","('걷기', 51)"
48,본운동,"('앉았다 일어서기', 95)","('한발 앞으로 내밀고 앉았다 일어서기', 88)","('달리기', 85)"
48,마무리운동,"('전신 루틴 스트레칭', 98)","('하지 루틴 스트레칭1', 40)","('하지 루틴 스트레칭2', 36)"
49,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 759)","('전신 루틴 스트레칭', 629)","('하지 루틴 스트레칭1', 461)"
49,본운동,"('앉았다 일어서기', 1204)","('엎드려 버티기', 945)","('윗몸올리기', 858)"
49,마무리운동,"('전신 루틴 스트레칭', 643)","('하지 루틴 스트레칭2', 422)","('상지 루틴 스트레칭', 414)"
50,준비운동,"('전신 루틴 스트레칭', 795)","('유산소 운동 전 동적 루틴 스트레칭', 713)","('하지 루틴 스트레칭1', 545)"
50,본운동,"('앉았다 일어서기', 1078)","('엎드려 버티기', 942)","('윗몸올리기', 873)"
50,마무리운동,"('전신 루틴 스트레칭', 583)","('하지 루틴 스트레칭2', 457)","('하지 루틴 스트레칭1', 439)"
51,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 307)","('전신 루틴 스트레칭', 243)","('하지 루틴 스트레칭1', 193)"
51,본운동,"('앉았다 일어서기', 430)","('엎드려 버티기', 376)","('한발 앞으로 내밀고 앉았다 일어서기', 362)"
51,마무리운동,"('전신 루틴 스트레칭', 298)","('하지 루틴 스트레칭2', 173)","('하지 루틴 스트레칭1', 162)"
